mission,instrument,obsid,physical_source,class_label,source_path,background_path,response_path,feature_status,source_sha256,background_sha256,response_sha256,source_poiserr,source_has_stat_err,background_poiserr,background_has_stat_err
RXTE,PCA_PCU2_TOP_LAYER,80431-01-02-03,1a_1744_361,NS,../data/processed/validation_heasoft/reduction/80431-01-02-03/source.pha,../data/processed/validation_heasoft/reduction/80431-01-02-03/background.pha,../data/processed/validation_heasoft/reduction/80431-01-02-03/response.rsp,NOT_GENERATED,fabcdd84478cd9cab95218ed76d8db7eb745bb010aa5a2533dcd27a0ff6648c9,d0b9102bc2867acc36932b557db878e595f44d656a9ad882eb45ff99e0561192,6bc4efb7b2e56cc7a6b266e8a78c363241ed0bfa117628b77f40b8f79d92a9d7,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,80431-01-03-00,1a_1744_361,NS,../data/processed/validation_heasoft/reduction/80431-01-03-00/source.pha,../data/processed/validation_heasoft/reduction/80431-01-03-00/background.pha,../data/processed/validation_heasoft/reduction/80431-01-03-00/response.rsp,NOT_GENERATED,622d99cf7a19b050be688e6db60a2524cc87a882fa42d6b1a6cad8d62383de5d,b5f75c85e9b804536f5f21aef2639abb36cd54ffe155c0fb218403043f029f65,83e58d82109c38499169c8806ef8c432e5fdc2175522d6edb46bc4da7b31eefc,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,91050-05-02-00,1a_1744_361,NS,../data/processed/validation_heasoft/reduction/91050-05-02-00/source.pha,../data/processed/validation_heasoft/reduction/91050-05-02-00/background.pha,../data/processed/validation_heasoft/reduction/91050-05-02-00/response.rsp,NOT_GENERATED,a1467ad327c3829287e49a88419b08b1324cbc66fb6fb789d2661fef5d666bc7,dbd13a5a704ca8f275240af10bf82f0b5b2951723ec7787c64a2522ee98176e3,4fdc42d9d004979bf24f978376120ad46c881ce31a431d0776bfeb67355f04fc,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,93155-01-02-00,1a_1744_361,NS,../data/processed/validation_heasoft/reduction/93155-01-02-00/source.pha,../data/processed/validation_heasoft/reduction/93155-01-02-00/background.pha,../data/processed/validation_heasoft/reduction/93155-01-02-00/response.rsp,NOT_GENERATED,010845da1e02a6a7a9822b10788506c666a635a775a633bdfc56feb541a4028e,3d8363fe431bcea9972f8e3ba4f5054b2edcc1acbc7dcaec11dd5936b89206f3,409df6dd7622c17e381a362a655218bce8ee7c683d1c1ca47e5150a4b42d35f6,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,93155-01-06-01,1a_1744_361,NS,../data/processed/validation_heasoft/reduction/93155-01-06-01/source.pha,../data/processed/validation_heasoft/reduction/93155-01-06-01/background.pha,../data/processed/validation_heasoft/reduction/93155-01-06-01/response.rsp,NOT_GENERATED,3f41d930ebcb44a59f0126fc527c24319b697057f35b420c0a332822d24b5b28,58f0dcb189892bbde30a8e7ec7856aad793d5f703d1cec03180eeb289a82f1bf,c37ca0e54d18267f51cf9044a567332a50b57a5e66a41965b00c5eb02d804414,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,93155-01-08-00,1a_1744_361,NS,../data/processed/validation_heasoft/reduction/93155-01-08-00/source.pha,../data/processed/validation_heasoft/reduction/93155-01-08-00/background.pha,../data/processed/validation_heasoft/reduction/93155-01-08-00/response.rsp,NOT_GENERATED,88928d835b8b887cafc96176ef88c00e2b40464bdbb08279e16148e94b3d8e3d,636ddb5fc5a82444b7b395a390bb189c5fa31a912390121581028ffc2493b09a,9e66b743ca2bb561ef5b82ec3bbaf59ef697462367f21fbc7ad0110ce308ea85,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,95416-01-01-00,1a_1744_361,NS,../data/processed/validation_heasoft/reduction/95416-01-01-00/source.pha,../data/processed/validation_heasoft/reduction/95416-01-01-00/background.pha,../data/processed/validation_heasoft/reduction/95416-01-01-00/response.rsp,NOT_GENERATED,85d24bdf015e4b6cf9229b7f228f6e92b64025ae5a88f2c4333324ea665c7d30,7fbca4bc4bdd088743cba26b26ba906fdbcbd6ff2855d49b08d1e5f612be7767,c584fdfe57f5112afa62011c0d446efd752b15fe3684f8e0286de5f94ff747b1,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,96437-01-02-00,1a_1744_361,NS,../data/processed/validation_heasoft/reduction/96437-01-02-00/source.pha,../data/processed/validation_heasoft/reduction/96437-01-02-00/background.pha,../data/processed/validation_heasoft/reduction/96437-01-02-00/response.rsp,NOT_GENERATED,fdb8a3c99ff17e310baa6d4cc603fd2b4699010d1d49968cc90a485c50f71dcd,837befdac01dc7cea15e9d2b909497f8e51f6a6e4492f76b65ff2e5371ce8278,df54c56533b6a34521cd08fc4f3c228af76bea15a741de85e003cff5f753f43f,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,10095-01-01-00,4u_0614_09,NS,../data/processed/validation_heasoft/reduction/10095-01-01-00/source.pha,../data/processed/validation_heasoft/reduction/10095-01-01-00/background.pha,../data/processed/validation_heasoft/reduction/10095-01-01-00/response.rsp,NOT_GENERATED,203e0bec767ed4920db42b49a716d3916e4deeffe50ef3dffb4574a007a1698f,cee93eaa7806ec623a6fd3066ac7b0f31371368940c23d948b1fbe522341276b,f87eb0d5aa20f583c4197c264b551d9f080b4dfbbf04082e8950223cc3df926e,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,40429-01-03-01,4u_0614_09,NS,../data/processed/validation_heasoft/reduction/40429-01-03-01/source.pha,../data/processed/validation_heasoft/reduction/40429-01-03-01/background.pha,../data/processed/validation_heasoft/reduction/40429-01-03-01/response.rsp,NOT_GENERATED,9eb19b6e667e6f394cf90bd38b27d67767fed425c11e8485940b8f4c6d04c810,5db8bf3570d24ac638393ea7dcdcd4a6169f7089ed11a8f378d923cc065bc919,f2790b555a0a0429fd830202879eec3591ec19ad5c58d9b8ffa3454e4cc88766,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,50031-01-04-08,4u_0614_09,NS,../data/processed/validation_heasoft/reduction/50031-01-04-08/source.pha,../data/processed/validation_heasoft/reduction/50031-01-04-08/background.pha,../data/processed/validation_heasoft/reduction/50031-01-04-08/response.rsp,NOT_GENERATED,a6fe1732ac6ef7ed01a61868aeb2dae3edac204f6fc7b517f3f2815ed05637f0,c94ec5c40dc2491833634c108fae2524e6cb613f33dd409501c4650644b2064a,a911b00e07d272078ff909e61a2d08ccf81b50c5aa5f495cb173e92ddeb8b9c1,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,80051-02-01-02,4u_0614_09,NS,../data/processed/validation_heasoft/reduction/80051-02-01-02/source.pha,../data/processed/validation_heasoft/reduction/80051-02-01-02/background.pha,../data/processed/validation_heasoft/reduction/80051-02-01-02/response.rsp,NOT_GENERATED,7e209a7a4d49bf95e259b314d98dcc7aa979e44615022edb9ab56d32fcc2748b,cf3b05b3ab571f44e091260796af7b7b918280471269346ac22cbf00c90f4592,24c3e4b22842413c95edb5b6b865276d3f54caa00fceea86cd0bc9c2e671b359,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,92411-01-01-02,4u_0614_09,NS,../data/processed/validation_heasoft/reduction/92411-01-01-02/source.pha,../data/processed/validation_heasoft/reduction/92411-01-01-02/background.pha,../data/processed/validation_heasoft/reduction/92411-01-01-02/response.rsp,NOT_GENERATED,1dbef4cd77e31cc1e87e4ba15bac2799c0afab572f59fce61a6addef58167d70,fcededf92a40cb9389b25dc30daa7f0049bbbfb842f0aac33be138bbb8a15d89,1eab37cfec89307219558fc5db8ddb6d984ceb497150f756aefbd6a97e03e5e2,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,93404-01-07-00,4u_0614_09,NS,../data/processed/validation_heasoft/reduction/93404-01-07-00/source.pha,../data/processed/validation_heasoft/reduction/93404-01-07-00/background.pha,../data/processed/validation_heasoft/reduction/93404-01-07-00/response.rsp,NOT_GENERATED,4313009528eb84eca85715c9c4abd154c38a5b2dfb92278d384c07ac5a266040,d3cba216eeaaab45dda47fea4bd6b44d42d0e76e7e5026000d7240db52195c58,3870467581fdcea7c0cb276cca0622d0b6cc4905f3e17d866238d3651519b552,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,95404-01-01-01,4u_0614_09,NS,../data/processed/validation_heasoft/reduction/95404-01-01-01/source.pha,../data/processed/validation_heasoft/reduction/95404-01-01-01/background.pha,../data/processed/validation_heasoft/reduction/95404-01-01-01/response.rsp,NOT_GENERATED,249f8be8fa0f0c846df7ddbfecd89812f4ebb405a8126395599b4cdca0f038d9,721f0abb75e03a45325061b1a2d2b385daa97c0106d0a5b6c6aea07169329397,34e54a461d5b8f0e16f733e3a8be30455bfaa7ace17b3d7306104e805e261656,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,96307-01-10-00,4u_0614_09,NS,../data/processed/validation_heasoft/reduction/96307-01-10-00/source.pha,../data/processed/validation_heasoft/reduction/96307-01-10-00/background.pha,../data/processed/validation_heasoft/reduction/96307-01-10-00/response.rsp,NOT_GENERATED,c1dcbfabe8f0a38f170548073e5cf43494734cd1782802d60563801e242b6208,88d89017510c99d9bb718cf9ef6a82fdf0dbf594dad6efeeb6ad8841f5a9255f,a8b0f3d9a73bf38c9f3a37735b7ed1932fc86260d602a7183b46ec92e7f1629c,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,90036-01-01-01,4u_1254_69,NS,../data/processed/validation_heasoft/reduction/90036-01-01-01/source.pha,../data/processed/validation_heasoft/reduction/90036-01-01-01/background.pha,../data/processed/validation_heasoft/reduction/90036-01-01-01/response.rsp,NOT_GENERATED,aa4c58c8e4fc313b9a3d02e87823b8a6df7c0f9856064bf1e28f862861b37b55,fc88a544d44087845dda4955e61b35fbfc58b85ac0e226353462dbf1688324e2,2db376e67b3ee81be9fa433c24eba51071ed61c171e912cb1be489516755a29e,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,90036-01-01-02,4u_1254_69,NS,../data/processed/validation_heasoft/reduction/90036-01-01-02/source.pha,../data/processed/validation_heasoft/reduction/90036-01-01-02/background.pha,../data/processed/validation_heasoft/reduction/90036-01-01-02/response.rsp,NOT_GENERATED,249bf132367ab0d1c16ac73a510b74edc27de3aee8a2ed278535a9c3c06fa8da,7336cc348fe21fff96ab45aff5feaeb12beb739878d66ea23ab1712676b7292e,f6deb06436b82214bd03625a8f5cce1c19791db7e348ffef87b6956707e74ad0,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,90036-01-01-03,4u_1254_69,NS,../data/processed/validation_heasoft/reduction/90036-01-01-03/source.pha,../data/processed/validation_heasoft/reduction/90036-01-01-03/background.pha,../data/processed/validation_heasoft/reduction/90036-01-01-03/response.rsp,NOT_GENERATED,bb2cea76f4a8799f3e8e607a1840ba37529dac516aa927b189a6e9be847ef2b3,3c0ff24a65f4900ccb5d065e1086c1f1c3941a0d97771090056f1ee40898c3a5,78f5e9cc58e7bbaa67633ff929a0b763f566d343ffae5428b68c2a58bf2b1411,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,90036-01-02-01,4u_1254_69,NS,../data/processed/validation_heasoft/reduction/90036-01-02-01/source.pha,../data/processed/validation_heasoft/reduction/90036-01-02-01/background.pha,../data/processed/validation_heasoft/reduction/90036-01-02-01/response.rsp,NOT_GENERATED,129342819ad1f533d81882a499122c55a4b4c89127fa801d287fee70a9cdbdeb,178c4c650e204ef7f86cd7d46e6f66b178f7c5b6d34034c3bd80876d1940fa3a,4073c619b085fe502f6a8c456903657f60da3feeb054fdc8f9b42ad7f8939f29,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,93406-13-01-00,4u_1254_69,NS,../data/processed/validation_heasoft/reduction/93406-13-01-00/source.pha,../data/processed/validation_heasoft/reduction/93406-13-01-00/background.pha,../data/processed/validation_heasoft/reduction/93406-13-01-00/response.rsp,NOT_GENERATED,05ed104c875bbcc1bcf9fd4b84ea5c2ec6203087a4a7b4de34a88b3f844a20f8,ae8e0463010b56e6d1877667c217cab3909098102acb438688e3e7a3865a14c0,794b554d672c5713ec2671725d729b213b3bfe819a8db7bc770769d35b7e29c7,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,95324-01-01-01,4u_1254_69,NS,../data/processed/validation_heasoft/reduction/95324-01-01-01/source.pha,../data/processed/validation_heasoft/reduction/95324-01-01-01/background.pha,../data/processed/validation_heasoft/reduction/95324-01-01-01/response.rsp,NOT_GENERATED,ded6b088810f9fd0e4ed532c7645b76f1c130abc671143b82e75b1f19fe2d2fd,09260be2c5efadd041a6e4858a778ba32099434eedad83f7805612c1777c1fa3,909d80ce554d1ea328c7980e0b1cf141a4977b66e7148ccaf7ec20384233b8a9,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,95324-01-02-00,4u_1254_69,NS,../data/processed/validation_heasoft/reduction/95324-01-02-00/source.pha,../data/processed/validation_heasoft/reduction/95324-01-02-00/background.pha,../data/processed/validation_heasoft/reduction/95324-01-02-00/response.rsp,NOT_GENERATED,f611067ec6879b0d9264df6047eae811c27e9cc47cfe845f0c6857364775ffc3,d283226a851fb8905548335df65cc98ffe6d76aad417f4c286820f288e8be39c,38c2f94ff83ebac55516d064825ec78619b5a96a00a7cc0e3c83c51b86da5bc7,False,True,False,True
RXTE,PCA_PCU2_TOP_LAYER,95324-01-02-01,4u_1254_69,NS,../data/processed/validation_heasoft/reduction/95324-01-02-01/source.pha,../data/processed/validation_heasoft/reduction/95324-01-02-01/background.pha,../data/processed/validation_heasoft/reduction/95324-01-02-01/response.rsp,NOT_GENERATED,44bc54d36d3ad78772944c0aa8a47ddef6164c95ccc6bc1b33196bf3d999a58f,dd34c9f6e856368c05b6308b2712ec2dd716b41f0e004f4c575733f1a628fa58,e45ff727b228c902a9561562bf0bf987d29aef89151c9938a2d5350931590042,False,True,False,True
